Puesto,Equipo,Gol_propia_puerta,Goles_recibidos,Perdidas_balon_provocadas,Tiempo_recuperacion_balon_s,Presiones_defensivas,Presiones_defensivas_directas
2,Suiza,1,3,137,36.08,615,123
2,Australia,1,2,118,52.57,856,130
2,Egipto,1,3,155,43.68,676,143
2,Marruecos,1,3,128,45.43,717,154
2,Paraguay,1,4,150,48.2,1011,206
12,España,0,0,146,32.04,629,102
12,Canadá,0,3,131,31.5,566,109
12,Sudáfrica,0,3,116,59.01,860,123
12,Austria,0,6,109,63.15,810,132
12,México,0,0,112,43.94,668,88
12,Argelia,0,7,134,46.08,749,115
12,Inglaterra,0,2,105,34.66,595,123
12,Ghana,0,2,120,67.27,863,146
12,Argentina,0,1,129,48.34,701,131
12,Bosnia y Herzegovina,0,6,136,44.99,790,124
12,Bélgica,0,2,130,39.11,597,89
12,Costa de Marfil,0,2,131,53.33,805,131
12,Alemania,0,4,144,41,751,155
12,Colombia,0,1,107,41.46,533,86
12,EE. UU.,0,4,136,36.41,638,139
12,Ecuador,0,2,141,41.94,734,168
12,Brasil,0,1,108,54.19,737,110
12,Suecia,0,7,116,52.16,601,108
12,Noruega,0,7,101,48.43,694,110
12,Países Bajos,0,4,114,41.76,599,100
12,Francia,0,2,139,46.94,768,129
12,Islas de Cabo Verde,0,2,146,51.37,837,117
12,Croacia,0,5,114,48.95,720,131
12,Japón,0,3,105,54.62,756,143
12,RD Congo,0,3,136,62.71,898,119
12,Portugal,0,1,103,49.01,683,96
12,Senegal,0,6,113,45.34,703,108
