Puesto,Equipo,Faltas_recibidas,Faltas_cometidas,Tarjetas_amarillas,Tarjetas_rojas,Dobles_amonestaciones,Fueras_de_juego
2,Ghana,46,33,3,0,0,8
2,Bosnia y Herzegovina,46,31,6,1,0,2
6,Japón,42,27,1,0,0,4
8,Paraguay,41,33,7,1,0,4
9,Brasil,40,38,5,0,0,9
10,EE. UU.,38,42,5,0,0,8
11,Inglaterra,37,52,2,0,0,6
11,Suiza,37,42,3,0,0,5
15,Noruega,35,25,1,0,0,1
15,Ecuador,35,27,5,0,0,1
15,Colombia,35,34,4,0,0,13
19,Egipto,34,42,6,0,0,1
19,España,34,15,2,0,0,6
19,Australia,34,24,5,0,0,1
19,México,34,28,2,1,0,4
23,Suecia,33,37,5,0,0,8
23,Argentina,33,31,2,0,0,8
23,Croacia,33,40,2,0,0,4
23,Alemania,33,30,1,0,0,0
27,RD Congo,32,34,5,0,0,5
27,Austria,32,20,4,0,0,6
27,Canadá,32,49,5,0,0,5
27,Marruecos,32,44,2,0,0,6
36,Portugal,29,34,4,0,0,7
36,Bélgica,29,33,3,1,0,4
39,Sudáfrica,28,30,5,2,0,7
42,Países Bajos,26,28,3,0,0,5
44,Senegal,24,28,2,0,0,8
44,Francia,24,20,1,0,0,4
46,Costa de Marfil,23,29,4,0,0,2
47,Argelia,17,30,1,0,0,2
48,Islas de Cabo Verde,15,35,4,0,0,5
