Puesto,Equipo,Goles,Asistencias,Remate,Remate_entre_tres_palos,Tiros_fuera,Efectividad_remates_pct,Tiros_dentro_area,Tiros_fuera_area,Remates_cabeza,Goles_prev,Efect_goles_prev,Saque_esquina,Posesion_pct
1,Alemania,10,9,53,22,19,19,37,16,6,7.38,1.35x,18,53
1,Francia,10,9,48,22,16,21,28,20,4,4.96,2.02x,15,50
1,Países Bajos,10,9,40,20,13,25,31,9,12,4.66,2.14x,13,56
4,Senegal,8,8,49,17,21,16,28,21,6,5.14,1.56x,20,52
4,Noruega,8,5,34,17,12,24,27,7,6,5.36,1.49x,14,46
4,Canadá,8,3,59,22,22,14,42,17,11,7,1.13x,35,53
4,Argentina,8,3,35,15,15,23,20,15,4,6.55,1.22x,9,53
4,EE. UU.,8,4,44,15,15,18,36,8,9,5.24,1.53x,19,54
9,Suecia,7,6,40,20,14,18,24,16,6,3.95,1.77x,17,45
9,Brasil,7,6,40,18,11,18,29,11,4,6.19,1.12x,16,49
9,Japón,7,7,27,9,13,26,14,13,4,2.92,2.4x,11,46
9,Suiza,7,4,45,18,17,16,32,13,3,6.67,1.05x,19,55
13,Marruecos,6,5,48,16,15,13,30,18,6,4.25,1.41x,16,53
13,Bélgica,6,3,73,21,30,8,50,23,8,6.55,0.92x,14,52
13,Portugal,6,3,37,12,16,16,22,15,2,3.57,1.68x,10,55
13,Austria,6,4,26,8,14,23,15,11,5,3.63,1.65x,10,44
13,México,6,5,35,13,15,17,23,12,6,4.22,1.42x,4,48
13,Inglaterra,6,5,58,20,26,10,46,12,16,6.72,0.89x,24,60
19,Egipto,5,5,48,13,23,10,30,18,6,3.76,1.33x,18,47
19,España,5,4,55,16,26,9,34,21,11,6.58,0.76x,23,62
19,Bosnia y Herzegovina,5,3,27,11,10,19,12,15,5,1.83,2.73x,12,38
19,Croacia,5,5,24,11,9,21,11,13,4,2.24,2.23x,7,49
19,Argelia,5,3,36,14,14,14,21,15,5,3.99,1.25x,12,58
24,Colombia,4,4,59,20,23,7,35,24,7,4.55,0.88x,14,56
24,RD Congo,4,2,34,8,21,12,16,18,5,3.07,1.3x,10,37
24,Costa de Marfil,4,3,31,9,13,13,20,11,0,4.08,0.98x,12,46
32,Ecuador,2,2,46,19,22,4,30,16,11,5.41,0.37x,17,52
32,Australia,2,1,26,11,12,8,16,10,3,1.99,1x,12,35
32,Islas de Cabo Verde,2,0,33,7,14,6,15,18,4,2.04,0.98x,9,36
32,Sudáfrica,2,1,33,10,14,6,12,21,4,2.33,0.86x,10,42
32,Ghana,2,2,15,3,6,13,11,4,3,2.07,0.96x,6,33
32,Paraguay,2,2,23,5,10,9,10,13,1,1.25,1.59x,2,30
