Puesto,Equipo,Desmarques_para_recibir,Desmarques_espalda_defensa,Desmarques_entre_lineas,Desmarques_delante_defensa,Desmarques_interior_lineas_rivales,Desmarques_exterior_lineas_rivales,Recepciones_espalda_defensa,Recepciones_entre_linea_medios_defensiva,Recepciones_bajo_presion
1,España,1587,469,498,620,938,649,55,460,741
2,Marruecos,1376,372,498,506,755,621,37,329,687
3,Inglaterra,1369,357,452,560,787,582,53,299,612
4,México,1324,321,570,433,699,625,21,295,530
5,Bélgica,1315,461,452,402,742,573,44,411,599
6,Colombia,1308,368,520,420,615,693,33,318,519
7,Argentina,1285,260,542,483,705,580,23,308,659
9,Argelia,1232,340,496,396,687,545,31,287,685
10,Portugal,1210,382,478,350,677,533,47,378,590
11,EE. UU.,1207,337,474,396,658,549,52,360,650
14,Japón,1172,328,424,420,705,467,27,253,448
15,Brasil,1168,290,486,392,658,510,36,256,522
16,Alemania,1113,299,454,360,618,495,34,393,691
17,Egipto,1095,270,387,438,537,558,35,312,518
18,Senegal,1066,343,370,353,628,438,37,325,696
19,Ecuador,1065,246,435,384,582,483,34,347,583
20,Suiza,1063,337,407,319,629,434,46,317,562
22,Canadá,1044,378,338,328,491,553,52,360,525
23,Francia,1042,303,319,420,585,457,51,314,485
25,Noruega,1027,230,446,351,554,473,28,294,572
26,Países Bajos,1003,335,316,352,594,409,42,312,488
28,Austria,975,267,371,337,549,426,43,301,603
30,Croacia,938,300,317,321,519,419,26,233,481
31,RD Congo,925,268,415,242,538,387,16,236,448
32,Sudáfrica,908,256,354,298,470,438,16,207,443
34,Islas de Cabo Verde,866,223,379,264,449,417,15,204,485
35,Costa de Marfil,846,237,392,217,445,401,29,322,668
37,Suecia,815,227,320,268,474,341,29,260,500
43,Bosnia y Herzegovina,700,192,275,233,372,328,18,204,522
44,Australia,658,155,298,205,349,309,24,241,573
47,Ghana,577,215,164,198,310,267,23,170,342
48,Paraguay,534,128,207,199,256,278,11,139,390
