Puesto,Equipo,Porterias_a_cero,Goles_recibidos,Paradas_portera,Acciones_portero_dentro_area,Acciones_portero_fuera_area
1,México,3,0,5,38,31
1,España,3,0,6,43,31
3,Portugal,2,1,9,63,54
3,Costa de Marfil,2,2,9,72,58
3,Argentina,2,1,1,31,26
3,Islas de Cabo Verde,2,2,10,96,71
3,Brasil,2,1,11,47,41
3,Australia,2,2,11,65,56
3,Paraguay,2,4,17,87,77
3,Inglaterra,2,2,5,45,35
3,Colombia,2,1,5,37,36
3,Ghana,2,2,9,64,55
13,Francia,1,2,5,29,26
13,Senegal,1,6,9,53,40
13,EE. UU.,1,4,3,38,32
13,Canadá,1,3,4,32,25
13,Sudáfrica,1,3,9,57,47
13,Croacia,1,5,11,59,48
13,Bélgica,1,2,8,52,42
13,Marruecos,1,3,7,45,39
13,Ecuador,1,2,11,51,47
13,Japón,1,3,12,40,36
27,Suecia,0,7,6,42,35
27,Austria,0,6,8,49,44
27,Argelia,0,7,6,36,33
27,Países Bajos,0,4,12,44,41
27,Alemania,0,4,3,50,36
27,RD Congo,0,3,10,55,45
27,Bosnia y Herzegovina,0,6,8,71,55
27,Noruega,0,7,8,63,55
27,Suiza,0,3,11,38,34
27,Egipto,0,3,9,64,56
