Puesto,Equipo,Gol_propia_puerta,Goles_recibidos,Perdidas_balon_provocadas,Tiempo_recuperacion_balon_s,Presiones_defensivas,Presiones_defensivas_directas
1,Catar,2,10,101,60.48,832,122
2,Arabia Saudí,1,5,86,39.68,731,74
2,Uzbekistán,1,8,81,36.41,602,80
2,Suiza,1,3,137,36.08,615,123
2,Paraguay,1,4,99,35.78,727,144
2,Jordania,1,5,102,35.27,677,118
2,Marruecos,1,3,128,45.43,717,154
2,Egipto,1,2,103,31.47,507,113
2,Australia,1,2,75,39.46,646,97
2,Irak,1,7,79,43.18,592,107
11,Haití,0,8,113,49.18,810,143
11,Chequia,0,6,119,56.67,857,121
11,Bosnia y Herzegovina,0,6,136,44.99,790,124
11,Uruguay,0,3,80,23.56,355,66
11,Panamá,0,2,92,29.05,470,120
11,Escocia,0,4,107,70.31,775,109
11,RI de Irán,0,2,89,31.36,596,103
11,EE. UU.,0,1,89,21.75,371,89
11,Portugal,0,1,66,22.69,380,67
11,México,0,0,112,43.94,668,88
11,República de Corea,0,3,106,44.64,563,86
11,Bélgica,0,1,86,22.83,348,57
11,España,0,0,97,19.11,414,67
11,Curazao,0,7,78,38.48,684,98
11,Canadá,0,3,131,31.5,566,109
11,Argentina,0,0,87,38.35,517,92
11,Nueva Zelanda,0,5,86,28.92,523,89
11,Austria,0,3,85,34.57,505,92
11,Túnez,0,9,75,39.31,456,80
11,Francia,0,1,96,34.24,534,84
11,Croacia,0,4,82,30.26,531,101
11,Brasil,0,1,108,54.19,737,110
11,Suecia,0,6,79,34.18,400,82
11,Alemania,0,2,93,25.12,520,114
11,Argelia,0,4,95,29.3,531,85
11,Noruega,0,3,63,30.53,397,67
11,Sudáfrica,0,3,116,59.01,860,123
11,Senegal,0,6,75,36.32,541,85
11,Colombia,0,1,71,23.85,315,63
11,Islas de Cabo Verde,0,2,93,39.19,631,83
11,Inglaterra,0,2,61,25.95,367,77
11,Ecuador,0,1,92,23.82,435,110
11,Países Bajos,0,3,80,29.2,426,68
11,Ghana,0,0,80,44.83,592,110
11,Japón,0,2,63,35.99,535,96
11,Turquía,0,3,71,17.75,271,67
11,RD Congo,0,2,82,52.31,707,88
11,Costa de Marfil,0,2,87,36.65,604,88
