Puesto,Equipo,Velocidad_media_kmh,Esprint_gran_velocidad,Esprints,Distancia_recorrida_m
1,Alemania,6.46,2939,1046,242047.99
2,Chequia,6.33,4330,1381,348826.43
3,España,6.23,2454,855,230996.31
4,Noruega,6.23,2752,949,236512.4
5,Escocia,6.21,3766,1251,348567.52
6,Jordania,6.19,3001,966,236714.7
7,Francia,6.18,2452,907,227885.48
8,Irak,6.17,2584,821,223823.38
9,Egipto,6.16,2658,1028,229657.8
10,Turquía,6.15,2371,841,235787.32
11,Bélgica,6.14,2600,911,225086.27
12,Nueva Zelanda,6.14,2758,966,231412.73
13,México,6.14,3979,1318,338511.84
14,Bosnia y Herzegovina,6.12,3592,1283,336456.49
15,Croacia,6.1,2597,995,223761.84
16,Paraguay,6.1,2588,924,231272.56
17,Australia,6.09,2608,923,229462.03
18,República de Corea,6.09,3553,1298,334954.79
19,Japón,6.09,2282,807,221626.57
20,Argelia,6.06,2640,909,225608.63
21,Túnez,6.05,2338,824,222162.48
22,Marruecos,6.04,3893,1511,341436.77
23,EE. UU.,6.03,2688,957,230993.12
24,Canadá,6.03,3997,1425,337187.2
25,Inglaterra,6.02,2519,929,225259.16
26,RI de Irán,6.02,2629,875,225596.66
27,Suecia,6.01,2317,811,221397.49
28,Panamá,6,2501,880,225445.66
29,Suiza,6,4041,1348,334171.2
30,Brasil,5.98,3727,1314,337977.79
31,Arabia Saudí,5.96,2709,904,224540.24
32,Haití,5.96,3975,1376,334085.63
33,Portugal,5.95,2399,917,219980.05
34,Senegal,5.93,2567,950,227941.84
35,Austria,5.91,2627,929,228141.38
36,RD Congo,5.91,2445,866,218417.03
37,Sudáfrica,5.89,3714,1359,320890.67
38,Costa de Marfil,5.88,2425,853,222738.73
39,Ghana,5.86,2348,859,224860.09
40,Uzbekistán,5.85,2478,869,221640.15
41,Uruguay,5.84,2360,945,223693.42
42,Islas de Cabo Verde,5.84,2097,711,219732.98
43,Países Bajos,5.79,2207,797,211318.06
44,Ecuador,5.72,2316,862,212139.45
45,Curazao,5.71,2032,802,209598.27
46,Argentina,5.67,2145,732,212754.56
47,Catar,5.64,3584,1080,310036.75
48,Colombia,5.6,2239,750,212688.63
