Puesto,Equipo,Porterias_a_cero,Goles_recibidos,Paradas_portera,Acciones_portero_dentro_area,Acciones_portero_fuera_area
1,México,3,0,5,38,31
2,Argentina,2,0,1,23,19
2,Brasil,2,1,11,47,41
2,Ghana,2,0,7,47,41
2,España,2,0,3,23,17
6,Japón,1,2,7,20,19
6,Australia,1,2,9,54,48
6,Islas de Cabo Verde,1,2,7,83,61
6,RI de Irán,1,2,13,50,45
6,Sudáfrica,1,3,9,57,47
6,Portugal,1,1,3,30,23
6,Ecuador,1,1,9,36,34
6,Inglaterra,1,2,3,26,18
6,Paraguay,1,4,11,74,64
6,EE. UU.,1,1,3,17,15
6,Curazao,1,7,20,72,65
6,Costa de Marfil,1,2,6,52,41
6,Marruecos,1,3,7,45,39
6,Francia,1,1,2,17,14
6,Croacia,1,4,11,48,39
6,Colombia,1,1,3,21,21
6,Canadá,1,3,4,32,25
6,Escocia,1,4,9,75,64
6,Bélgica,1,1,7,39,30
25,Argelia,0,4,6,22,20
25,Catar,0,10,16,124,103
25,Países Bajos,0,3,9,32,29
25,Austria,0,3,6,36,31
25,Egipto,0,2,7,44,40
25,Uruguay,0,3,4,31,25
25,Chequia,0,6,11,60,52
25,Túnez,0,9,3,43,35
25,República de Corea,0,3,11,42,34
25,Irak,0,7,3,55,46
25,Arabia Saudí,0,5,14,67,60
25,Uzbekistán,0,8,5,55,42
25,Panamá,0,2,3,22,18
25,Haití,0,8,13,56,48
25,Jordania,0,5,7,49,39
25,Senegal,0,6,8,38,29
25,Suecia,0,6,4,22,20
25,RD Congo,0,2,9,47,39
25,Noruega,0,3,3,38,33
25,Suiza,0,3,11,38,34
25,Alemania,0,2,2,20,19
25,Nueva Zelanda,0,5,6,54,48
25,Turquía,0,3,3,32,24
25,Bosnia y Herzegovina,0,6,8,71,55
