Puesto,Equipo,Faltas_recibidas,Faltas_cometidas,Tarjetas_amarillas,Tarjetas_rojas,Dobles_amonestaciones,Fueras_de_juego
1,Haití,55,43,6,0,0,7
2,Bosnia y Herzegovina,46,31,6,1,0,2
3,Escocia,42,39,5,0,0,2
4,Brasil,40,38,5,0,0,9
5,Suiza,37,42,3,0,0,5
5,Chequia,37,31,1,0,0,5
7,Catar,36,28,4,2,0,4
8,México,34,28,2,1,0,4
9,Ghana,33,24,2,0,0,6
10,Marruecos,32,44,2,0,0,6
10,Paraguay,32,27,6,1,0,4
10,Canadá,32,49,5,0,0,5
13,Panamá,30,21,3,0,0,2
14,Uzbekistán,29,23,2,0,0,2
15,Australia,28,15,4,0,0,1
15,Sudáfrica,28,30,5,2,0,7
17,Argentina,26,19,2,0,0,5
17,Noruega,26,15,0,0,0,0
17,RD Congo,26,20,2,0,0,2
20,EE. UU.,25,31,4,0,0,3
20,República de Corea,25,32,4,0,0,8
20,Austria,25,17,3,0,0,3
23,Inglaterra,24,36,1,0,0,2
23,Croacia,24,27,1,0,0,3
25,Alemania,23,16,0,0,0,0
25,Egipto,23,27,3,0,0,1
25,Colombia,23,28,3,0,0,10
25,Portugal,23,22,4,0,0,5
29,Nueva Zelanda,22,18,2,0,0,3
29,Suecia,22,17,3,0,0,6
29,Japón,22,15,0,0,0,1
29,Bélgica,22,23,3,1,0,3
33,Curazao,21,25,5,0,0,3
34,España,20,2,1,0,0,4
34,Ecuador,20,17,2,0,0,1
36,RI de Irán,19,13,2,0,0,6
37,Turquía,18,27,2,0,0,5
37,Jordania,18,16,1,0,0,2
39,Costa de Marfil,17,18,3,0,0,1
39,Uruguay,17,15,2,0,0,9
41,Países Bajos,16,17,3,0,0,4
41,Irak,16,21,2,0,0,1
41,Túnez,16,25,1,0,0,7
44,Senegal,14,18,0,0,0,7
44,Argelia,14,24,1,0,0,1
46,Francia,13,12,0,0,0,2
46,Arabia Saudí,13,16,3,0,0,3
48,Islas de Cabo Verde,5,20,3,0,0,3
