Puesto,Equipo,Pase,Precision_pases_pct,Centro,Precision_centros_pct,Intentos_ruptura_lineas,Acierto_ruptura_lineas_pct,Cambios_orientacion_intentados,Acierto_cambios_orientacion_pct
1,República de Corea,1855,88,60,27,41,46,11,82
2,Marruecos,1736,89,58,29,59,54,17,82
3,Brasil,1680,90,43,33,59,56,11,91
4,Suiza,1663,88,66,14,76,54,21,90
5,España,1554,93,67,22,61,75,18,94
6,Portugal,1443,91,47,28,60,62,18,78
7,Turquía,1388,91,73,15,52,62,17,76
8,Escocia,1377,87,53,34,45,40,17,71
9,México,1373,87,32,25,52,37,15,87
10,Canadá,1340,84,117,24,75,61,16,81
11,Argelia,1295,90,28,14,44,59,12,92
12,Sudáfrica,1284,85,34,12,26,42,14,86
13,Alemania,1275,90,40,28,50,62,8,88
14,Francia,1188,90,28,7,52,62,6,100
15,Ecuador,1176,88,47,32,51,53,4,75
16,Bosnia y Herzegovina,1159,81,47,19,44,41,10,80
17,Argentina,1142,90,11,27,24,58,7,71
18,Uruguay,1140,89,69,25,49,65,12,100
19,Inglaterra,1134,90,47,34,45,60,9,67
20,EE. UU.,1133,87,38,24,65,65,9,100
21,Bélgica,1113,88,50,28,47,53,7,71
22,Chequia,1102,79,50,32,45,38,12,75
23,Haití,1098,85,42,24,42,40,13,100
24,Colombia,1082,87,32,25,41,32,25,92
25,Austria,1062,86,35,20,44,61,5,100
26,Senegal,1025,88,34,32,41,56,20,95
27,Croacia,977,86,30,20,47,51,10,70
28,Países Bajos,976,89,42,29,40,68,4,75
29,Egipto,955,86,37,24,46,43,19,95
30,Panamá,953,85,48,19,35,51,23,70
31,Japón,949,88,36,28,36,64,4,50
32,Costa de Marfil,920,87,27,26,30,67,3,100
33,Catar,912,78,28,36,71,27,11,91
34,Noruega,909,87,28,36,45,47,6,50
35,Nueva Zelanda,885,83,24,25,30,23,3,100
36,Irak,849,84,19,37,35,49,10,80
37,Suecia,794,84,35,17,41,61,8,88
38,Túnez,746,81,22,18,29,38,16,69
39,Arabia Saudí,720,77,10,20,31,32,9,56
40,RI de Irán,692,77,29,21,37,49,8,75
41,Uzbekistán,681,80,19,11,30,30,10,80
42,Jordania,614,74,22,27,31,52,10,80
43,Australia,601,77,34,29,39,54,10,50
44,Islas de Cabo Verde,599,74,11,36,22,14,8,50
44,Curazao,599,76,6,33,24,29,5,100
46,RD Congo,583,77,23,22,32,31,8,63
47,Ghana,541,80,22,27,34,53,12,92
48,Paraguay,487,67,14,14,19,32,9,67
