Puesto,Equipo,Goles,Asistencias,Remate,Remate_entre_tres_palos,Tiros_fuera,Efectividad_remates_pct,Tiros_dentro_area,Tiros_fuera_area,Remates_cabeza,Goles_prev,Efect_goles_prev,Saque_esquina,Posesion_pct
1,Alemania,9,8,42,19,14,21,31,11,5,6.64,1.36x,16,54
2,Canadá,8,3,59,22,22,14,42,17,11,7,1.13x,35,53
3,Suiza,7,4,45,18,17,16,32,13,3,6.67,1.05x,19,55
3,Noruega,7,4,24,12,8,29,21,3,5,3.91,1.79x,10,49
3,Países Bajos,7,7,20,13,6,35,16,4,6,2.88,2.43x,7,52
3,Brasil,7,6,40,18,11,18,29,11,4,6.19,1.12x,16,49
7,Francia,6,5,30,13,11,20,19,11,3,3.91,1.53x,10,49
7,Portugal,6,3,24,10,9,25,17,7,1,2.6,2.31x,8,62
7,Japón,6,6,19,6,9,32,10,9,3,1.7,3.54x,9,46
7,Marruecos,6,5,48,16,15,13,30,18,6,4.25,1.41x,16,53
7,México,6,5,35,13,15,17,23,12,6,4.22,1.42x,4,48
7,Suecia,6,5,29,15,9,21,18,11,2,3.39,1.77x,9,45
7,EE. UU.,6,3,26,8,9,23,21,5,6,3.45,1.74x,10,58
14,Bosnia y Herzegovina,5,3,27,11,10,19,12,15,5,1.83,2.73x,12,38
14,Argentina,5,3,22,11,7,23,13,9,2,4.03,1.24x,3,46
16,Egipto,4,4,33,10,13,12,22,11,4,2.84,1.41x,10,44
16,Inglaterra,4,3,41,14,17,10,34,7,13,5.11,0.78x,17,61
16,España,4,3,49,15,23,8,29,20,10,5.46,0.73x,17,64
16,Colombia,4,4,35,13,13,11,20,15,4,2.71,1.48x,9,58
20,Uruguay,3,1,44,12,22,7,25,19,15,3.73,0.8x,25,59
20,Senegal,3,3,22,6,10,14,14,8,2,2.44,1.23x,8,48
20,Croacia,3,3,16,7,7,19,8,8,1,1.76,1.7x,4,48
20,Nueva Zelanda,3,3,25,13,5,12,16,9,5,2.18,1.38x,5,42
20,Austria,3,1,16,5,8,19,9,7,3,2.56,1.17x,7,48
25,Chequia,2,2,34,8,15,6,22,12,10,2.44,0.82x,15,37
25,RI de Irán,2,1,24,7,10,8,16,8,5,2.33,0.86x,6,37
25,Costa de Marfil,2,1,24,6,10,8,13,11,0,3.15,0.63x,6,42
25,Sudáfrica,2,1,33,10,14,6,12,21,4,2.34,0.85x,10,43
25,Paraguay,2,2,16,3,6,13,7,9,1,0.96,2.08x,1,24
25,Argelia,2,1,24,9,9,8,15,9,5,2.46,0.81x,12,56
25,Islas de Cabo Verde,2,0,18,5,7,11,5,13,2,0.67,2.97x,5,29
25,Catar,2,1,17,6,10,12,10,7,2,1.88,1.06x,9,31
25,República de Corea,2,2,32,11,13,6,19,11,8,3,0.67x,12,56
25,Jordania,2,2,19,8,7,11,11,8,2,0.92,2.18x,4,30
25,Haití,2,1,31,7,15,6,16,15,5,1.64,1.22x,9,42
25,Australia,2,1,14,6,7,14,9,5,2,1.3,1.54x,9,29
37,Irak,1,1,15,1,12,7,11,4,6,1.9,0.53x,4,39
37,Ghana,1,1,9,2,3,11,8,1,3,1.32,0.76x,4,28
37,RD Congo,1,1,15,3,9,7,5,10,3,0.96,1.04x,8,29
37,Curazao,1,0,18,5,10,6,8,10,1,1.03,0.97x,1,29
37,Arabia Saudí,1,0,10,5,4,10,3,7,1,1.17,0.85x,5,29
37,Uzbekistán,1,0,15,4,6,7,8,7,2,1.54,0.65x,5,34
37,Túnez,1,1,8,2,3,13,3,5,2,0.37,2.73x,5,40
37,Escocia,1,0,29,7,12,3,23,6,6,2.34,0.43x,12,41
37,Bélgica,1,0,38,11,16,3,27,11,4,2.55,0.39x,6,52
46,Ecuador,0,0,39,16,19,0,25,14,10,4.12,0x,14,58
46,Turquía,0,0,62,12,31,0,30,32,7,3.79,0x,20,65
46,Panamá,0,0,19,5,8,0,12,7,3,1.47,0x,9,46
